tick,second_in_day,day,aggregate_position,gross_limit,net_limit,utilization_pct,net_position,nlv,pnl_estimate
5,5,1,0,50000,30000,0.0000,0,0.00,
10,10,1,19119.0,50000,30000,0.3824,15119.0,-2207.57,
15,15,1,12964.0,50000,30000,0.2593,2028.0,-1603.07,
20,20,1,10456.0,50000,30000,0.2091,6028.0,-637.63,
25,25,1,6184.0,50000,30000,0.1237,5524.0,2726.24,
30,30,1,10791.0,50000,30000,0.2158,9159.0,4572.57,
35,35,1,5852.0,50000,30000,0.1170,1856.0,6452.49,
40,40,1,5278.0,50000,30000,0.1056,722.0,7010.79,
45,45,1,0,50000,30000,0.0000,0,7763.38,
50,50,1,0,50000,30000,0.0000,0,7763.38,
55,55,1,0,50000,30000,0.0000,0,7763.38,
60,0,2,0,10000,30000,0.0000,0,7763.38,
65,5,2,0,50000,30000,0.0000,0,7763.38,
70,10,2,13767.0,50000,30000,0.2753,6169.0,4742.31,
75,15,2,11845.0,50000,30000,0.2369,11845.0,2806.89,
80,20,2,15997.0,50000,30000,0.3199,11483.0,1780.73,
85,25,2,9235.0,50000,30000,0.1847,3607.0,4984.38,
90,30,2,9863.0,50000,30000,0.1973,9863.0,10555.97,
95,35,2,19142.0,50000,30000,0.3828,26.0,11022.77,
100,40,2,2470.0,50000,30000,0.0494,2470.0,12813.43,
105,45,2,312.0,50000,30000,0.0062,312.0,13007.52,
110,50,2,312.0,50000,30000,0.0062,312.0,12942.00,
115,55,2,312.0,50000,30000,0.0062,312.0,12982.56,
120,0,3,312.0,10000,30000,0.0312,312.0,12988.80,
125,5,3,312.0,50000,30000,0.0062,312.0,13631.52,
130,10,3,14550.0,50000,30000,0.2910,326.0,9543.32,
135,15,3,7316.0,50000,30000,0.1463,2098.0,14132.26,
140,20,3,15308.0,50000,30000,0.3062,3874.0,16785.51,
145,25,3,15228.0,50000,30000,0.3046,628.0,18196.11,
150,30,3,21399.0,50000,30000,0.4280,21399.0,16571.06,
155,35,3,6734.0,50000,30000,0.1347,6734.0,21908.74,
160,40,3,0,50000,30000,0.0000,0,23045.11,
165,45,3,0,50000,30000,0.0000,0,23045.11,
170,50,3,0,50000,30000,0.0000,0,23045.11,
175,55,3,0,50000,30000,0.0000,0,23045.11,
180,0,4,0,10000,30000,0.0000,0,23045.11,
185,5,4,0,50000,30000,0.0000,0,23045.11,
190,10,4,8107.0,50000,30000,0.1621,5693.0,23631.67,
195,15,4,11053.0,50000,30000,0.2211,1693.0,21556.35,
200,20,4,9696.0,50000,30000,0.1939,9696.0,22249.85,
205,25,4,8070.0,50000,30000,0.1614,3012.0,24797.63,
210,30,4,15793.0,50000,30000,0.3159,1961.0,25471.65,
215,35,4,17217.0,50000,30000,0.3443,17217.0,26900.29,
220,40,4,14439.0,50000,30000,0.2888,14363.0,28427.72,
225,45,4,7000.0,50000,30000,0.1400,7000.0,27456.91,
230,50,4,7000.0,50000,30000,0.1400,7000.0,28582.61,
235,55,4,7000.0,50000,30000,0.1400,7000.0,28401.11,
240,0,5,7000.0,10000,30000,0.7000,7000.0,27757.81,
245,5,5,7000.0,50000,30000,0.1400,7000.0,30378.91,
250,10,5,15616.0,50000,30000,0.3123,7906.0,28102.46,
255,15,5,19030.0,50000,30000,0.3806,19030.0,27833.98,
260,20,5,23570.0,50000,30000,0.4714,13032.0,29287.65,
265,25,5,16665.0,50000,30000,0.3333,10053.0,30858.51,
270,30,5,13794.0,50000,30000,0.2759,8358.0,33633.67,
275,35,5,8168.0,50000,30000,0.1634,8168.0,35726.61,
280,40,5,1820.0,50000,30000,0.0364,1820.0,35910.01,
285,45,5,0,50000,30000,0.0000,0,35955.51,
290,50,5,0,50000,30000,0.0000,0,35955.51,
295,55,5,0,50000,30000,0.0000,0,35955.51,
300,0,6,0,10000,30000,0.0000,0,35955.51,
